,ages,theme_name,count_theme_name
0,1.5,DUPLO®,326
1,2.0,DUPLO®,840
2,4.0,Classic,332
3,4.0,Juniors,957
4,5.0,City,745
5,5.0,DC Comics™ Super Heroes,6
6,5.0,Disney™,75
7,5.0,Friends,16
8,5.0,Juniors,21
9,5.0,Marvel Super Heroes,69
10,5.0,Minifigures,70
11,6.0,Angry Birds™,6
12,6.0,City,257
13,6.0,Creator 3-in-1,84
14,6.0,DC Comics™ Super Heroes,71
15,6.0,Disney™,168
16,6.0,Friends,462
17,6.0,Jurassic Park Velociraptor Chase,21
18,6.0,LEGO® Creator 3-in-1,4
19,6.0,Marvel Super Heroes,110
20,6.0,Minecraft™,41
21,6.0,NEXO KNIGHTS™,2
22,6.0,NINJAGO®,107
23,6.0,Pteranodon Chase,21
24,6.0,SERIOUS PLAY®,84
25,6.0,Star Wars™,272
26,6.0,Stygimoloch Breakout,21
27,6.0,THE LEGO® BATMAN MOVIE,42
28,6.0,THE LEGO® NINJAGO® MOVIE™,83
29,7.0,BOOST,19
30,7.0,Blue's Helicopter Pursuit,21
31,7.0,Carnotaurus Gyrosphere Escape,21
32,7.0,City,44
33,7.0,Creator 3-in-1,193
34,7.0,DC Comics™ Super Heroes,46
35,7.0,DC Super Hero Girls,24
36,7.0,DIMENSIONS™,280
37,7.0,Dilophosaurus Outpost Attack,21
38,7.0,Elves,69
39,7.0,Friends,86
40,7.0,LEGO® Creator 3-in-1,8
41,7.0,Marvel Super Heroes,172
42,7.0,Minecraft™,40
43,7.0,NEXO KNIGHTS™,64
44,7.0,NINJAGO®,47
45,7.0,Speed Champions,212
46,7.0,Star Wars™,246
47,7.0,T. rex Transport,21
48,7.0,THE LEGO® BATMAN MOVIE,232
49,7.0,THE LEGO® NINJAGO® MOVIE™,168
50,7.0,Technic,111
51,8.0,City,46
52,8.0,Creator 3-in-1,86
53,8.0,DC Comics™ Super Heroes,2
54,8.0,DC Super Hero Girls,4
55,8.0,Elves,105
56,8.0,Friends,42
57,8.0,Ghostbusters™,2
58,8.0,Indoraptor Rampage at Lockwood Estate,21
59,8.0,LEGO® Creator 3-in-1,4
60,8.0,MINDSTORMS®,25
61,8.0,Marvel Super Heroes,42
62,8.0,Minecraft™,201
63,8.0,NEXO KNIGHTS™,106
64,8.0,NINJAGO®,67
65,8.0,Speed Champions,42
66,8.0,Star Wars™,493
67,8.0,THE LEGO® BATMAN MOVIE,151
68,8.0,THE LEGO® NINJAGO® MOVIE™,209
69,8.0,Technic,108
70,9.0,Creator 3-in-1,40
71,9.0,DC Comics™ Super Heroes,21
72,9.0,DC Super Hero Girls,4
73,9.0,Elves,21
74,9.0,Ideas,21
75,9.0,NEXO KNIGHTS™,25
76,9.0,NINJAGO®,23
77,9.0,Power Functions,21
78,9.0,Star Wars™,217
79,9.0,THE LEGO® BATMAN MOVIE,25
80,9.0,THE LEGO® NINJAGO® MOVIE™,294
81,9.0,Technic,71
82,10.0,BrickHeadz,765
83,10.0,Ideas,42
84,10.0,MINDSTORMS®,247
85,10.0,Star Wars™,42
86,10.0,THE LEGO® BATMAN MOVIE,20
87,10.0,Technic,107
88,11.0,Technic,66
89,12.0,Architecture,210
90,12.0,Creator Expert,23
91,12.0,Ideas,44
92,12.0,Minecraft™,21
93,12.0,THE LEGO® BATMAN MOVIE,21
94,12.0,Technic,21
95,14.0,DC Comics™ Super Heroes,2
96,14.0,Disney™,21
97,14.0,Ideas,21
98,14.0,Marvel Super Heroes,21
99,14.0,NINJAGO®,19
100,14.0,Star Wars™,86
101,14.0,THE LEGO® BATMAN MOVIE,42
102,16.0,Creator Expert,294
103,16.0,Disney™,21
104,16.0,Ghostbusters™,21
105,16.0,Star Wars™,21
106,16.0,THE LEGO® NINJAGO® MOVIE™,42
107,16.0,Technic,21
